fecha,captacion_bancaria_total,cetes_28d,confianza_consumidor_banxico,confianza_empresarial_banxico,cpi_g7_oecd,credito_privado_total,debt_gdp_mx_wdi,eurmxn_frankfurter,gdp_mx_wdi,gold_xauusd_stooq,inpc_general,inpc_subyacente,ipc_bmv,nasdaq_stooq,pib_trimestral_desestacionalizado,pib_trimestral_inegi_limpio,population_mx_wdi,remesas_familiares,remittances_mx_wdi,reservas_internacionales,sp500_stooq,tasa_fondeo,tasa_referencia,tasa_reportos,tiie_28d,tiie_91d,tipo_cambio_euro,tipo_cambio_fix,tipo_cambio_historico,tipo_cambio_interbancario,udis,unemployment_mx_wdi,usdeur_frankfurter,usdjpy_frankfurter,usdmxn_frankfurter,usdmxn_stooq,captacion_bancaria_total_lag1,cetes_28d_lag1,confianza_consumidor_banxico_lag1,confianza_empresarial_banxico_lag1,cpi_g7_oecd_lag1,credito_privado_total_lag1,debt_gdp_mx_wdi_lag1,eurmxn_frankfurter_lag1,gdp_mx_wdi_lag1,gold_xauusd_stooq_lag1,inpc_general_lag1,inpc_subyacente_lag1,ipc_bmv_lag1,nasdaq_stooq_lag1,pib_trimestral_desestacionalizado_lag1,pib_trimestral_inegi_limpio_lag1,population_mx_wdi_lag1,remesas_familiares_lag1,remittances_mx_wdi_lag1,reservas_internacionales_lag1,sp500_stooq_lag1,tasa_fondeo_lag1,tasa_referencia_lag1,tasa_reportos_lag1,tiie_28d_lag1,tiie_91d_lag1,tipo_cambio_euro_lag1,tipo_cambio_fix_lag1,tipo_cambio_historico_lag1,tipo_cambio_interbancario_lag1,udis_lag1,unemployment_mx_wdi_lag1,usdeur_frankfurter_lag1,usdjpy_frankfurter_lag1,usdmxn_frankfurter_lag1,usdmxn_stooq_lag1,captacion_bancaria_total_lag3,cetes_28d_lag3,confianza_consumidor_banxico_lag3,confianza_empresarial_banxico_lag3,cpi_g7_oecd_lag3,credito_privado_total_lag3,debt_gdp_mx_wdi_lag3,eurmxn_frankfurter_lag3,gdp_mx_wdi_lag3,gold_xauusd_stooq_lag3,inpc_general_lag3,inpc_subyacente_lag3,ipc_bmv_lag3,nasdaq_stooq_lag3,pib_trimestral_desestacionalizado_lag3,pib_trimestral_inegi_limpio_lag3,population_mx_wdi_lag3,remesas_familiares_lag3,remittances_mx_wdi_lag3,reservas_internacionales_lag3,sp500_stooq_lag3,tasa_fondeo_lag3,tasa_referencia_lag3,tasa_reportos_lag3,tiie_28d_lag3,tiie_91d_lag3,tipo_cambio_euro_lag3,tipo_cambio_fix_lag3,tipo_cambio_historico_lag3,tipo_cambio_interbancario_lag3,udis_lag3,unemployment_mx_wdi_lag3,usdeur_frankfurter_lag3,usdjpy_frankfurter_lag3,usdmxn_frankfurter_lag3,usdmxn_stooq_lag3,captacion_bancaria_total_lag6,cetes_28d_lag6,confianza_consumidor_banxico_lag6,confianza_empresarial_banxico_lag6,cpi_g7_oecd_lag6,credito_privado_total_lag6,debt_gdp_mx_wdi_lag6,eurmxn_frankfurter_lag6,gdp_mx_wdi_lag6,gold_xauusd_stooq_lag6,inpc_general_lag6,inpc_subyacente_lag6,ipc_bmv_lag6,nasdaq_stooq_lag6,pib_trimestral_desestacionalizado_lag6,pib_trimestral_inegi_limpio_lag6,population_mx_wdi_lag6,remesas_familiares_lag6,remittances_mx_wdi_lag6,reservas_internacionales_lag6,sp500_stooq_lag6,tasa_fondeo_lag6,tasa_referencia_lag6,tasa_reportos_lag6,tiie_28d_lag6,tiie_91d_lag6,tipo_cambio_euro_lag6,tipo_cambio_fix_lag6,tipo_cambio_historico_lag6,tipo_cambio_interbancario_lag6,udis_lag6,unemployment_mx_wdi_lag6,usdeur_frankfurter_lag6,usdjpy_frankfurter_lag6,usdmxn_frankfurter_lag6,usdmxn_stooq_lag6,captacion_bancaria_total_pct,cetes_28d_pct,confianza_consumidor_banxico_pct,confianza_empresarial_banxico_pct,cpi_g7_oecd_pct,credito_privado_total_pct,debt_gdp_mx_wdi_pct,eurmxn_frankfurter_pct,gdp_mx_wdi_pct,gold_xauusd_stooq_pct,inpc_general_pct,inpc_subyacente_pct,ipc_bmv_pct,nasdaq_stooq_pct,pib_trimestral_desestacionalizado_pct,pib_trimestral_inegi_limpio_pct,population_mx_wdi_pct,remesas_familiares_pct,remittances_mx_wdi_pct,reservas_internacionales_pct,sp500_stooq_pct,tasa_fondeo_pct,tasa_referencia_pct,tasa_reportos_pct,tiie_28d_pct,tiie_91d_pct,tipo_cambio_euro_pct,tipo_cambio_fix_pct,tipo_cambio_historico_pct,tipo_cambio_interbancario_pct,udis_pct,unemployment_mx_wdi_pct,usdeur_frankfurter_pct,usdjpy_frankfurter_pct,usdmxn_frankfurter_pct,usdmxn_stooq_pct,tasa_real,tiie_real
2002-02-28,1050.0,5.2562,7.5,303861.0,-0.581639887282332,5.67,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1266434166666666,2.9604881944444443,21.543725,4182.6415,3.582580197055222,17228388.249333333,121072306.0,7508.270833333333,26824907167.0,41903.875,2028.1785,9.109285714285717,5.431818181818182,2417.333333333333,8.990263157894736,9.6870625,14.3082,22.177983333333334,22.177983333333334,9.683525,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1061.6666666666667,5.2562,7.5,303861.0,-0.581639887282332,6.71,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1260123333333336,3.0224333333333333,21.543725,4182.6415,3.582580197055222,17377639.013666663,121072306.0,0.0,26824907167.0,41063.375,2028.1785,9.159125806451614,5.431818181818182,2417.333333333333,7.9675,9.632357142857144,14.3082,22.177983333333334,22.177983333333334,9.630957142857142,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1078.0,5.2562,7.5,303861.0,-0.581639887282332,13.89,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9841574166666667,2.9338527777777776,21.543725,4182.6415,3.582580197055222,17604946.473666664,121072306.0,0.0,26824907167.0,40155.48,2028.1785,9.219923333333332,5.431818181818182,2417.333333333333,8.9,9.349625,14.3082,22.177983333333334,22.177983333333334,9.3455,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1061.6666666666667,5.2562,7.5,303861.0,-0.581639887282332,13.726666666666668,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9829081666666664,2.8009819444444446,21.543725,4182.6415,3.582580197055222,17798713.023333333,121072306.0,0.0,26824907167.0,38775.1,2028.1785,9.12428064516129,5.431818181818182,2417.333333333333,9.289782608695653,9.3870625,14.3082,22.177983333333334,22.177983333333334,9.3912375,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-1.098901098901106,0.0,0.0,0.0,0.0,-15.499254843517141,0.0,0.0,0.0,0.0,0.02018812679027704,-2.049512166429557,0.0,0.0,0.0,-0.858866755236154,0.0,inf,0.0,2.046836140477981,0.0,-0.5441577418970556,0.0,0.0,12.836688520799955,0.5679332309996621,0.0,0.0,0.0,0.545821732597429,0.0,0.0,0.0,0.0,0.0,0.0,5.411630055027905,8.970075031104459
2002-03-31,1022.5,5.2562,7.5,303861.0,-0.581639887282332,7.57,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.12727475,2.8985430555555554,21.543725,4182.6415,3.582580197055222,17079137.485,121072306.0,15016.541666666666,26824907167.0,42090.28,2028.1785,9.077925806451614,5.431818181818182,2417.333333333333,8.470277777777778,9.69025,14.3082,22.177983333333334,22.177983333333334,9.689925,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1050.0,5.2562,7.5,303861.0,-0.581639887282332,5.67,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1266434166666666,2.9604881944444443,21.543725,4182.6415,3.582580197055222,17228388.249333333,121072306.0,7508.270833333333,26824907167.0,41903.875,2028.1785,9.109285714285717,5.431818181818182,2417.333333333333,8.990263157894736,9.6870625,14.3082,22.177983333333334,22.177983333333334,9.683525,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1050.0,5.2562,7.5,303861.0,-0.581639887282332,9.42,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9845605,2.9781430555555555,21.543725,4182.6415,3.582580197055222,17526889.777999997,121072306.0,0.0,26824907167.0,40043.1,2028.1785,9.173916129032255,5.431818181818182,2417.333333333333,7.941578947368422,9.477125,14.3082,22.177983333333334,22.177983333333334,9.4733125,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1064.0,5.2562,7.5,303861.0,-0.581639887282332,7.24,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9833311666666664,2.8452722222222224,21.543725,4182.6415,3.582580197055222,17761059.865000002,121072306.0,0.0,26824907167.0,39204.25,2028.1785,9.38729,5.431818181818182,2417.333333333333,10.9475,9.408555555555555,14.3082,22.177983333333334,22.177983333333334,9.407511111111113,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-2.619047619047621,0.0,0.0,0.0,0.0,33.50970017636685,0.0,0.0,0.0,0.0,0.020192047803346824,-2.092396078630987,0.0,0.0,0.0,-0.8663071795999788,0.0,100.0,0.0,0.44483952856388953,0.0,-0.34426308294318586,0.0,0.0,-5.783872740814456,0.032904711825709754,0.0,0.0,0.0,0.06609163501929416,0.0,0.0,0.0,0.0,0.0,0.0,5.411626134014835,8.45008572997443
2002-04-30,994.0,5.2562,7.5,303861.0,-0.581639887282332,7.205,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.127906416666667,2.8365979166666664,21.543725,4182.6415,3.582580197055222,17391691.04,121072306.0,22524.8125,26824907167.0,41392.05,2028.1785,9.143976666666669,5.431818181818182,2417.333333333333,6.849318181818182,9.6615,14.3082,22.177983333333334,22.177983333333334,9.66849,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1022.5,5.2562,7.5,303861.0,-0.581639887282332,7.57,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.12727475,2.8985430555555554,21.543725,4182.6415,3.582580197055222,17079137.485,121072306.0,15016.541666666666,26824907167.0,42090.28,2028.1785,9.077925806451614,5.431818181818182,2417.333333333333,8.470277777777778,9.69025,14.3082,22.177983333333334,22.177983333333334,9.689925,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1061.6666666666667,5.2562,7.5,303861.0,-0.581639887282332,6.71,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1260123333333336,3.0224333333333333,21.543725,4182.6415,3.582580197055222,17377639.013666663,121072306.0,0.0,26824907167.0,41063.375,2028.1785,9.159125806451614,5.431818181818182,2417.333333333333,7.9675,9.632357142857144,14.3082,22.177983333333334,22.177983333333334,9.630957142857142,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1036.0,5.2562,7.5,303861.0,-0.581639887282332,12.94,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.983754583333333,2.8895625000000003,21.543725,4182.6415,3.582580197055222,17683003.169333335,121072306.0,0.0,26824907167.0,39575.875,2028.1785,9.360006451612902,5.431818181818182,2417.333333333333,10.338478260869564,9.3186875,14.3082,22.177983333333334,22.177983333333334,9.3198,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-2.787286063569683,0.0,0.0,0.0,0.0,-4.821664464993402,0.0,0.0,0.0,0.0,0.020198630346324187,-2.1371129461113414,0.0,0.0,0.0,1.8300312605042501,0.0,50.0,0.0,-1.6588865647840678,0.0,0.7275985905074611,0.0,0.0,-19.13702995918586,-0.2966899718789606,0.0,0.0,0.0,-0.2212091424856233,0.0,0.0,0.0,0.0,0.0,0.0,5.4116195514718575,6.829119551471858
2002-05-31,966.0,5.2562,7.5,303861.0,-0.581639887282332,6.635,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1285380000000003,2.774652777777778,21.543725,4182.6415,3.582580197055222,17704244.595,121072306.0,30033.083333333332,26824907167.0,41338.66,2028.1785,9.479467741935483,5.431818181818182,2417.333333333333,7.727954545454546,9.75675,14.3082,22.177983333333334,22.177983333333334,9.74975,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,994.0,5.2562,7.5,303861.0,-0.581639887282332,7.205,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.127906416666667,2.8365979166666664,21.543725,4182.6415,3.582580197055222,17391691.04,121072306.0,22524.8125,26824907167.0,41392.05,2028.1785,9.143976666666669,5.431818181818182,2417.333333333333,6.849318181818182,9.6615,14.3082,22.177983333333334,22.177983333333334,9.66849,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1050.0,5.2562,7.5,303861.0,-0.581639887282332,5.67,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1266434166666666,2.9604881944444443,21.543725,4182.6415,3.582580197055222,17228388.249333333,121072306.0,7508.270833333333,26824907167.0,41903.875,2028.1785,9.109285714285717,5.431818181818182,2417.333333333333,8.990263157894736,9.6870625,14.3082,22.177983333333334,22.177983333333334,9.683525,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1078.0,5.2562,7.5,303861.0,-0.581639887282332,13.89,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9841574166666667,2.9338527777777776,21.543725,4182.6415,3.582580197055222,17604946.473666664,121072306.0,0.0,26824907167.0,40155.48,2028.1785,9.219923333333332,5.431818181818182,2417.333333333333,8.9,9.349625,14.3082,22.177983333333334,22.177983333333334,9.3455,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-2.8169014084507005,0.0,0.0,0.0,0.0,-7.9111727966689855,0.0,0.0,0.0,0.0,0.020191887134735076,-2.183782852159788,0.0,0.0,0.0,1.7971429821352247,0.0,33.33333333333333,0.0,-0.12898612173110058,0.0,3.66898437625951,0.0,0.0,12.828085078143147,0.9858717590436328,0.0,0.0,0.0,0.8404621611027174,0.0,0.0,0.0,0.0,0.0,0.0,5.411626294683447,7.707762658319811
2002-06-30,938.0,5.2562,7.5,303861.0,-0.581639887282332,7.0,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.129169833333333,2.712707638888889,21.543725,4182.6415,3.582580197055222,18016798.15,121072306.0,37541.354166666664,26824907167.0,42132.85,2028.1785,9.75009,5.431818181818182,2417.333333333333,8.41975,9.70975,14.3082,22.177983333333334,22.177983333333334,9.7035,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,966.0,5.2562,7.5,303861.0,-0.581639887282332,6.635,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1285380000000003,2.774652777777778,21.543725,4182.6415,3.582580197055222,17704244.595,121072306.0,30033.083333333332,26824907167.0,41338.66,2028.1785,9.479467741935483,5.431818181818182,2417.333333333333,7.727954545454546,9.75675,14.3082,22.177983333333334,22.177983333333334,9.74975,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1022.5,5.2562,7.5,303861.0,-0.581639887282332,7.57,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.12727475,2.8985430555555554,21.543725,4182.6415,3.582580197055222,17079137.485,121072306.0,15016.541666666666,26824907167.0,42090.28,2028.1785,9.077925806451614,5.431818181818182,2417.333333333333,8.470277777777778,9.69025,14.3082,22.177983333333334,22.177983333333334,9.689925,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1050.0,5.2562,7.5,303861.0,-0.581639887282332,9.42,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,2.9845605,2.9781430555555555,21.543725,4182.6415,3.582580197055222,17526889.777999997,121072306.0,0.0,26824907167.0,40043.1,2028.1785,9.173916129032255,5.431818181818182,2417.333333333333,7.941578947368422,9.477125,14.3082,22.177983333333334,22.177983333333334,9.4733125,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-2.898550724637683,0.0,0.0,0.0,0.0,5.50113036925397,0.0,0.0,0.0,0.0,0.020195801787692425,-2.232536603679147,0.0,0.0,0.0,1.765415933579395,0.0,25.0,0.0,1.9211798350502685,0.0,2.8548254546753915,0.0,0.0,8.951857189071543,-0.4817177851231258,0.0,0.0,0.0,-0.4743711377214854,0.0,0.0,0.0,0.0,0.0,0.0,5.411622380030489,8.399554198212307
2002-07-31,923.622641509434,5.2562,7.5,303861.0,-0.581639887282332,7.486666666666667,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1298021666666664,2.6507625,21.543725,4182.6415,3.582580197055222,17953866.56833333,121072306.0,45049.625,26824907167.0,43067.075,2028.1785,9.79253870967742,5.431818181818182,2417.333333333333,8.335652173913044,9.6018125,14.3082,22.177983333333334,22.177983333333334,9.598225,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,938.0,5.2562,7.5,303861.0,-0.581639887282332,7.0,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.129169833333333,2.712707638888889,21.543725,4182.6415,3.582580197055222,18016798.15,121072306.0,37541.354166666664,26824907167.0,42132.85,2028.1785,9.75009,5.431818181818182,2417.333333333333,8.41975,9.70975,14.3082,22.177983333333334,22.177983333333334,9.7035,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,994.0,5.2562,7.5,303861.0,-0.581639887282332,7.205,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.127906416666667,2.8365979166666664,21.543725,4182.6415,3.582580197055222,17391691.04,121072306.0,22524.8125,26824907167.0,41392.05,2028.1785,9.143976666666669,5.431818181818182,2417.333333333333,6.849318181818182,9.6615,14.3082,22.177983333333334,22.177983333333334,9.66849,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1061.6666666666667,5.2562,7.5,303861.0,-0.581639887282332,6.71,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1260123333333336,3.0224333333333333,21.543725,4182.6415,3.582580197055222,17377639.013666663,121072306.0,0.0,26824907167.0,41063.375,2028.1785,9.159125806451614,5.431818181818182,2417.333333333333,7.9675,9.632357142857144,14.3082,22.177983333333334,22.177983333333334,9.630957142857142,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-1.5327674296978788,0.0,0.0,0.0,0.0,6.952380952380954,0.0,0.0,0.0,0.0,0.02020770258608362,-2.283516955563314,0.0,0.0,0.0,-0.34929392638317625,0.0,20.000000000000018,0.0,2.2173316070477123,0.0,0.4353673625312027,0.0,0.0,-0.9988161891618774,-1.1116403614923165,0.0,0.0,0.0,-1.0849178131602022,0.0,0.0,0.0,0.0,0.0,0.0,5.411610479232098,8.315444471326959
2002-08-31,909.2452830188679,5.2562,7.5,303861.0,-0.581639887282332,6.53,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1304345,2.588817361111111,21.543725,4182.6415,3.582580197055222,17890934.98666667,121072306.0,52557.89583333333,26824907167.0,44090.84,2028.1785,9.833690322580646,5.431818181818182,2417.333333333333,7.613636363636363,9.547555555555554,14.3082,22.177983333333334,22.177983333333334,9.548266666666668,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,923.622641509434,5.2562,7.5,303861.0,-0.581639887282332,7.486666666666667,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1298021666666664,2.6507625,21.543725,4182.6415,3.582580197055222,17953866.56833333,121072306.0,45049.625,26824907167.0,43067.075,2028.1785,9.79253870967742,5.431818181818182,2417.333333333333,8.335652173913044,9.6018125,14.3082,22.177983333333334,22.177983333333334,9.598225,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,966.0,5.2562,7.5,303861.0,-0.581639887282332,6.635,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1285380000000003,2.774652777777778,21.543725,4182.6415,3.582580197055222,17704244.595,121072306.0,30033.083333333332,26824907167.0,41338.66,2028.1785,9.479467741935483,5.431818181818182,2417.333333333333,7.727954545454546,9.75675,14.3082,22.177983333333334,22.177983333333334,9.74975,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,1050.0,5.2562,7.5,303861.0,-0.581639887282332,5.67,41.3273940627237,17.8679,1213294467779.98,1254.2209523809524,3.1266434166666666,2.9604881944444443,21.543725,4182.6415,3.582580197055222,17228388.249333333,121072306.0,7508.270833333333,26824907167.0,41903.875,2028.1785,9.109285714285717,5.431818181818182,2417.333333333333,8.990263157894736,9.6870625,14.3082,22.177983333333334,22.177983333333334,9.683525,6.48792375,4.311,0.82366,119.62,18.8891,18.7969,-1.5566268998202348,0.0,0.0,0.0,0.0,-12.778272484416743,0.0,0.0,0.0,0.0,0.02020361989865105,-2.3368800067485873,0.0,0.0,0.0,-0.35051826539505004,0.0,16.66666666666665,0.0,2.377140774013564,0.0,0.4202343654006624,0.0,0.0,-8.661779489027566,-0.5650698182707137,0.0,0.0,0.0,-0.5204955430127001,0.0,0.0,0.0,0.0,0.0,0.0,5.411614561919531,7.593432743737712
